Side,Time
B,2018-01-08 00:35:04
S,2018-01-08 00:35:28
S,2018-01-08 00:35:31
B,2018-01-08 00:35:50
S,2018-01-08 00:36:25
S,2018-01-08 00:36:26
S,2018-01-08 00:38:02
S,2018-01-08 00:38:05
B,2018-01-08 00:38:18
B,2018-01-08 00:38:28
S,2018-01-08 00:39:33
S,2018-01-08 00:40:00
B,2018-01-08 00:40:09
B,2018-01-08 00:41:37
S,2018-01-08 00:42:48
B,2018-01-08 00:43:08
S,2018-01-08 00:43:32
S,2018-01-08 00:44:14
B,2018-01-08 00:44:29
B,2018-01-08 00:44:44
S,2018-01-08 00:45:06
S,2018-01-08 00:45:37
B,2018-01-08 00:45:40
S,2018-01-08 00:46:57
B,2018-01-08 00:47:12
S,2018-01-08 00:47:28
B,2018-01-08 00:47:59
B,2018-01-08 00:48:05
B,2018-01-08 00:48:40
S,2018-01-08 00:48:53
S,2018-01-08 00:49:58
B,2018-01-08 00:50:30
S,2018-01-08 00:50:44
B,2018-01-08 00:51:12
B,2018-01-08 00:51:46
S,2018-01-08 00:53:32
S,2018-01-08 00:53:33
B,2018-01-08 00:53:35
S,2018-01-08 00:54:31
S,2018-01-08 00:54:57
B,2018-01-08 00:55:02
B,2018-01-08 00:55:55
S,2018-01-08 00:58:15
B,2018-01-08 00:58:42
B,2018-01-08 00:58:44
S,2018-01-08 00:58:47
B,2018-01-08 00:58:59
B,2018-01-08 00:59:05
S,2018-01-08 00:59:21
S,2018-01-08 00:59:30
B,2018-01-08 00:59:38
B,2018-01-08 01:01:25
S,2018-01-08 01:01:39
S,2018-01-08 01:01:54
S,2018-01-08 01:02:21
S,2018-01-08 01:02:48
B,2018-01-08 01:02:54
S,2018-01-08 01:03:18
S,2018-01-08 01:03:20
B,2018-01-08 01:03:35
S,2018-01-08 01:03:59
B,2018-01-08 01:04:02
S,2018-01-08 01:04:34
S,2018-01-08 01:04:45
S,2018-01-08 01:04:58
B,2018-01-08 01:06:35
B,2018-01-08 01:07:00
S,2018-01-08 01:07:01
B,2018-01-08 01:07:45
B,2018-01-08 01:08:57
B,2018-01-08 01:09:24
B,2018-01-08 01:09:27
B,2018-01-08 01:10:17
B,2018-01-08 01:10:19
